Name,Total Attendances,date
Lcd-Leeds-Ooh,688.0,2011-04-10
Leeds Teaching Hospitals NHS Trust,4298.0,2011-04-10
Local Care Direct Ooh,871.0,2011-04-10
Mid Yorkshire Hospitals NHS Trust,4105.0,2011-04-10
North East Lincolnshire Care Trust Plus,152.0,2011-04-10
Northern Lincolnshire And Goole Hospitals NHS Foundation Trust,2892.0,2011-04-10
Rotherham Community Health Centre,862.0,2011-04-10
Scarborough And North East Yorkshire Health Care NHS Trust,1067.0,2011-04-10
Sheffield Children's NHS Foundation Trust,1108.0,2011-04-10
Sheffield City GP Hc (Wic),1229.0,2011-04-10
Sheffield Teaching Hospitals NHS Foundation Trust,2934.0,2011-04-10
South West Yorkshire Partnership NHS Foundation Trust,0.0,2011-04-10
The Rotherham NHS Foundation Trust,1553.0,2011-04-10
York Teaching Hospital NHS Foundation Trust,1887.0,2011-04-10
Chesterfield Royal Hospital NHS Foundation Trust,1338.0,2011-04-10
Derby Hospitals NHS Foundation Trust,2308.0,2011-04-10
Derby Open Access Centre,982.0,2011-04-10
Derbyshire Community Health Services NHS Trust,1025.0,2011-04-10
Derbyshire Health United Ltd,257.0,2011-04-10
Dr GP Hanlon's Practice,964.0,2011-04-10
Ilkeston Family Practice & Walk In Ctr,329.0,2011-04-10
Kettering General Hospital NHS Foundation Trust,2215.0,2011-04-10
Lakeside Plus Limited,624.0,2011-04-10
Latham House Medical Practice,145.0,2011-04-10
Lincolnshire Community Health Services NHS Trust,2251.0,2011-04-10
Market Harborough Med.Ctr,236.0,2011-04-10
NHS Nottingham 8-8 Health Centre,463.0,2011-04-10
Northampton General Hospital NHS Trust,1950.0,2011-04-10
Nottingham Citycare Partnership,1154.0,2011-04-10
Nottingham University Hospitals NHS Trust,3653.0,2011-04-10
Nottinghamshire County Teaching PCT,0.0,2011-04-10
Nottinghamshire Healthcare NHS Trust,323.0,2011-04-10
Oakham Medical Practice,55.0,2011-04-10
Sherwood Forest Hospitals NHS Foundation Trust,2322.0,2011-04-10
United Lincolnshire Hospitals NHS Trust,3449.0,2011-04-10
University Hospitals Of Leicester NHS Trust,4177.0,2011-04-10
Birmingham Children's Hospital NHS Foundation Trust,993.0,2011-04-10
Birmingham Coin,600.0,2011-04-10
Birmingham Community Healthcare NHS Trust,244.0,2011-04-10
Birmingham East And North PCT,1132.0,2011-04-10
Birmingham Women's NHS Foundation Trust,0.0,2011-04-10
Burton Hospitals NHS Foundation Trust,1253.0,2011-04-10
Coventry And Warwickshire Partnership NHS Trust,0.0,2011-04-10
Coventry NHS Healthcare Ctr,951.0,2011-04-10
Dudley Borough Walk In Centre,960.0,2011-04-10
George Eliot Hospital NHS Trust,1517.0,2011-04-10
Greet General Practice & Urgent Care Centre,690.0,2011-04-10
Heart Of England NHS Foundation Trust,4873.0,2011-04-10
Malling Health - Telford Wic,309.0,2011-04-10
Malling Health - Wrekin Wic,295.0,2011-04-10
Mid Staffordshire NHS Foundation Trust,1534.0,2011-04-10
North Staffordshire PCT,166.0,2011-04-10
Sandwell And West Birmingham Hospitals NHS Trust,4387.0,2011-04-10
Showell Park Health & Walk In Centre,475.0,2011-04-10
Shrewsbury And Telford Hospital NHS Trust,1996.0,2011-04-10
Shropshire County PCT,507.0,2011-04-10
Shropshire Walk In Health Centre,540.0,2011-04-10
Solihull Care Trust,979.0,2011-04-10
South Birmingham PCT,951.0,2011-04-10
South Staffordshire PCT,1123.0,2011-04-10
South Warwickshire NHS Foundation Trust,1234.0,2011-04-10
Stoke On Trent PCT,917.0,2011-04-10
Summerfield Urgent Care Centre,695.0,2011-04-10
Telford And Wrekin PCT,70.0,2011-04-10
The Dudley Group NHS Foundation Trust,2053.0,2011-04-10
The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0.0,2011-04-10
The Royal Wolverhampton Hospitals NHS Trust,2664.0,2011-04-10
University Hospital Of North Staffordshire NHS Trust,2195.0,2011-04-10
University Hospitals Birmingham NHS Foundation Trust,1702.0,2011-04-10
University Hospitals Coventry And Warwickshire NHS Trust,3427.0,2011-04-10
Walsall Healthcare NHS Trust,1745.0,2011-04-10
Walsall Teaching PCT,1039.0,2011-04-10
Worcestershire Acute Hospitals NHS Trust,2871.0,2011-04-10
Worcestershire PCT,858.0,2011-04-10
Wye Valley NHS Trust,1183.0,2011-04-10
Anglian Community Enterprise Community Interest Company (Ace Cic),554.0,2011-04-10
Assura Chelmsford Llp,787.0,2011-04-10
Assura Lea Valley Llp,334.0,2011-04-10
Basildon And Thurrock University Hospitals NHS Foundation Trust,2089.0,2011-04-10
Bedford Hospital NHS Trust,1360.0,2011-04-10
Bedfordshire PCT,497.0,2011-04-10
Cambridge University Hospitals NHS Foundation Trust,1927.0,2011-04-10
Cambridgeshire Community Services NHS Trust,660.0,2011-04-10
Colchester Hospital University NHS Foundation Trust,1496.0,2011-04-10
Crown Health Centre,494.0,2011-04-10
East And North Hertfordshire NHS Trust,3154.0,2011-04-10
Great Yarmouth And Waveney PCT,112.0,2011-04-10
Greyfriars Health Centre,343.0,2011-04-10
Hertfordshire Community NHS Trust,145.0,2011-04-10
Hinchingbrooke Health Care NHS Trust,748.0,2011-04-10
Ipswich Hospital NHS Trust,1236.0,2011-04-10
James Paget University Hospitals NHS Foundation Trust,1329.0,2011-04-10
Luton And Dunstable Hospital NHS Foundation Trust,1346.0,2011-04-10
Luton Out Of Hours & Triage Centre,724.0,2011-04-10
Mid Essex Hospital Services NHS Trust,1462.0,2011-04-10
Norfolk And Norwich University Hospitals NHS Foundation Trust,2017.0,2011-04-10
North Colchester Healthcare Centre,1190.0,2011-04-10
Norwich Practices Ltd (Castle Mall),1402.0,2011-04-10
Peterborough And Stamford Hospitals NHS Foundation Trust,1683.0,2011-04-10
Peterborough PCT,1216.0,2011-04-10
South West Essex PCT,556.0,2011-04-10
Southend University Hospital NHS Foundation Trust,1842.0,2011-04-10
Suffolk PCT,122.0,2011-04-10
The Princess Alexandra Hospital NHS Trust,1653.0,2011-04-10
"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",1075.0,2011-04-10
The Riverside Clinic,529.0,2011-04-10
West Essex PCT,641.0,2011-04-10
West Hertfordshire Hospitals NHS Trust,2532.0,2011-04-10
West Suffolk NHS Foundation Trust,1111.0,2011-04-10
Barking And Dagenham PCT,613.0,2011-04-10
"Barking, Havering And Redbridge University Hospitals NHS Trust",3621.0,2011-04-10
Barnet And Chase Farm Hospitals NHS Trust,3162.0,2011-04-10
Barnet PCT,1978.0,2011-04-10
Barts And The London NHS Trust,2731.0,2011-04-10
Brent Urgent Care Centre - Central Middlesex Hospital,1099.0,2011-04-10
Broad Street Medical Practice & Walk In Centre,661.0,2011-04-10
Bromley PCT,1247.0,2011-04-10
Central London Community Healthcare NHS Trust,1700.0,2011-04-10
Chelsea And Westminster Hospital NHS Foundation Trust,2339.0,2011-04-10
Croydon Health Services NHS Trust,2593.0,2011-04-10
Ealing Hospital NHS Trust,2012.0,2011-04-10
Ealing Mini Ucc,0.0,2011-04-10
East London NHS Foundation Trust,0.0,2011-04-10
Epsom And St Helier University Hospitals NHS Trust,2900.0,2011-04-10
Greenwich Teaching PCT,548.0,2011-04-10
Guy's And St Thomas' NHS Foundation Trust,3210.0,2011-04-10
Hammersmith And Fulham PCT,354.0,2011-04-10
Harold Wood Walk In Centre,952.0,2011-04-10
Havering PCT,764.0,2011-04-10
Homerton University Hospital NHS Foundation Trust,2166.0,2011-04-10
Hounslow And Richmond Community Healthcare NHS Trust,949.0,2011-04-10
Hurley Group Practice,905.0,2011-04-10
Imperial College Healthcare NHS Trust,5249.0,2011-04-10
King's College Hospital NHS Foundation Trust,3087.0,2011-04-10
Kingston Hospital NHS Trust,2229.0,2011-04-10
Lewisham Healthcare NHS Trust,2354.0,2011-04-10
Moorfields Eye Hospital NHS Foundation Trust,1556.0,2011-04-10
Newham University Hospital NHS Trust,2276.0,2011-04-10
North Middlesex University Hospital NHS Trust,2767.0,2011-04-10
North West London Hospitals NHS Trust,4435.0,2011-04-10
Orchard Village Walk-In-Centre,230.0,2011-04-10
Oxleas NHS Foundation Trust,764.0,2011-04-10
Pelc,1185.0,2011-04-10
Pelc Redbridge Ooh,523.0,2011-04-10
Royal Brompton And Harefield NHS Foundation Trust,0.0,2011-04-10
Royal Free Hampstead NHS Trust,1701.0,2011-04-10
Royal National Orthopaedic Hospital NHS Trust,0.0,2011-04-10
South London Healthcare NHS Trust,3483.0,2011-04-10
St George's Healthcare NHS Trust,3634.0,2011-04-10
The Hillingdon Hospital,521.0,2011-04-10
The Hillingdon Hospitals NHS Foundation Trust,2250.0,2011-04-10
The Practice Heart Of Hounslow,926.0,2011-04-10
The Practice Loxford,247.0,2011-04-10
The Practice Surgeries Ltd,780.0,2011-04-10
The Whittington Hospital NHS Trust,1821.0,2011-04-10
Tollgate Lodge Medical Centre,471.0,2011-04-10
Tower Hamlets PCT,757.0,2011-04-10
University College London Hospitals NHS Foundation Trust,2110.0,2011-04-10
Victoria Station NHS Walk In Centre,720.0,2011-04-10
Waldron - Hurley Unregistered Practice,714.0,2011-04-10
Waltham Forest PCT,0.0,2011-04-10
West Middlesex University Hospital NHS Trust,2166.0,2011-04-10
Westminster PCT,0.0,2011-04-10
Whipps Cross University Hospital NHS Trust,2324.0,2011-04-10
Ashford And St Peter's Hospitals NHS Foundation Trust,1981.0,2011-04-10
Ashford Health Centre,968.0,2011-04-10
Brighton And Sussex University Hospitals NHS Trust,3015.0,2011-04-10
Dartford And Gravesham NHS Trust,1985.0,2011-04-10
Dr Jm Ribchester & Partners,338.0,2011-04-10
East Kent Hospitals University NHS Foundation Trust,4005.0,2011-04-10
East Sussex Downs And Weald PCT,539.0,2011-04-10
East Sussex Healthcare NHS Trust,2914.0,2011-04-10
Frimley Park Hospital NHS Foundation Trust,1971.0,2011-04-10
Kent Community Health NHS Trust,2349.0,2011-04-10
Maidstone And Tunbridge Wells NHS Trust,2440.0,2011-04-10
Medway NHS Foundation Trust,1804.0,2011-04-10
Queen Victoria Hospital NHS Foundation Trust,240.0,2011-04-10
Royal Surrey County Hospital NHS Foundation Trust,1364.0,2011-04-10
Surrey And Sussex Healthcare NHS Trust,980.0,2011-04-10
Surrey PCT,2259.0,2011-04-10
Sussex Community NHS Trust,1401.0,2011-04-10
Western Sussex Hospitals NHS Trust,2614.0,2011-04-10
Basingstoke And North Hampshire NHS Foundation Trust,947.0,2011-04-10
Berkshire East PCT,675.0,2011-04-10
Berkshire West PCT,383.0,2011-04-10
Buckinghamshire Healthcare NHS Trust,2144.0,2011-04-10
Hampshire PCT,481.0,2011-04-10
Heatherwood And Wexham Park Hospitals NHS Foundation Trust,2263.0,2011-04-10
Isle Of Wight NHS PCT,1288.0,2011-04-10
Milton Keynes Hospital NHS Foundation Trust,1440.0,2011-04-10
Milton Keynes Urgent Care Services Cic,1040.0,2011-04-10
Oxford University Hospitals NHS Trust,2424.0,2011-04-10
Oxfordshire PCT,646.0,2011-04-10
Portsmouth Hospitals NHS Trust,2441.0,2011-04-10
Reading NHS Treatment Centre,637.0,2011-04-10
Royal Berkshire NHS Foundation Trust,1919.0,2011-04-10
Solent NHS Trust,1241.0,2011-04-10
St Mary's NHS Treatment Centre,797.0,2011-04-10
University Hospital Southampton NHS Foundation Trust,2152.0,2011-04-10
Winchester And Eastleigh Healthcare NHS Trust,1180.0,2011-04-10
Wycombe GP Health Centre Eac,376.0,2011-04-10
Assura Minerva Llp,613.0,2011-04-10
Bath And North East Somerset PCT,55.0,2011-04-10
Bristol PCT,944.0,2011-04-10
Carfax Health Enterprise,511.0,2011-04-10
Cornwall And Isles Of Scilly PCT,2266.0,2011-04-10
Dorset County Hospital NHS Foundation Trust,832.0,2011-04-10
Dorset PCT,764.0,2011-04-10
Gloucestershire Hospitals NHS Foundation Trust,2269.0,2011-04-10
Gloucestershire PCT,1343.0,2011-04-10
GP Walk In Health Centre Service,222.0,2011-04-10
Great Western Hospitals NHS Foundation Trust,1410.0,2011-04-10
North Bristol NHS Trust,1944.0,2011-04-10
North Somerset PCT,98.0,2011-04-10
Northern Devon Healthcare NHS Trust,2877.0,2011-04-10
Plymouth Hospitals NHS Trust,1741.0,2011-04-10
Plymouth Teaching PCT,376.0,2011-04-10
Poole Hospital NHS Foundation Trust,1181.0,2011-04-10
Royal Cornwall Hospitals NHS Trust,1385.0,2011-04-10
Royal Devon And Exeter NHS Foundation Trust,1881.0,2011-04-10
Royal United Hospital Bath NHS Trust,1391.0,2011-04-10
Salisbury NHS Foundation Trust,836.0,2011-04-10
Somerset PCT,1341.0,2011-04-10
South Devon Healthcare NHS Foundation Trust,1460.0,2011-04-10
Swindon PCT,467.0,2011-04-10
Taunton And Somerset NHS Foundation Trust,1026.0,2011-04-10
The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust,1270.0,2011-04-10
Torbay Care Trust,979.0,2011-04-10
University Hospitals Bristol NHS Foundation Trust,2455.0,2011-04-10
Weston Area Health NHS Trust,1021.0,2011-04-10
Weston GP Healthcare Centre,275.0,2011-04-10
Wiltshire PCT,828.0,2011-04-10
Yeovil District Hospital NHS Foundation Trust,870.0,2011-04-10
City Hospitals Sunderland NHS Foundation Trust,2291.0,2011-04-17
County Durham And Darlington NHS Foundation Trust,4570.0,2011-04-17
Darlington PCT,0.0,2011-04-17
Gateshead Health NHS Foundation Trust,1296.0,2011-04-17
Gateshead PCT,1139.0,2011-04-17
Newcastle City Centre NHS Walk In Centre,366.0,2011-04-17
North Tees And Hartlepool NHS Foundation Trust,1930.0,2011-04-17
Northumbria Healthcare NHS Foundation Trust,3466.0,2011-04-17
South Tees Hospitals NHS Foundation Trust,3221.0,2011-04-17
South Tyneside NHS Foundation Trust,1315.0,2011-04-17
South Tyneside PCT,0.0,2011-04-17
Sunderland Teaching PCT,1760.0,2011-04-17
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,3113.0,2011-04-17
5 Boroughs Partnership NHS Foundation Trust,1311.0,2011-04-17
Aintree University Hospital NHS Foundation Trust,1570.0,2011-04-17
Alder Hey Children's NHS Foundation Trust,1048.0,2011-04-17
Blackpool Teaching Hospitals NHS Foundation Trust,1756.0,2011-04-17
Bolton NHS Foundation Trust,2094.0,2011-04-17
Bolton PCT,878.0,2011-04-17
Bridgewater Community Healthcare NHS Trust,1075.0,2011-04-17
Central Manchester University Hospitals NHS Foundation Trust,4021.0,2011-04-17
Countess Of Chester Hospital NHS Foundation Trust,1283.0,2011-04-17
Cumbria Partnership NHS Foundation Trust,1393.0,2011-04-17
East Cheshire NHS Trust,1158.0,2011-04-17
East Lancashire Hospitals NHS Trust,3627.0,2011-04-17
Halton And St Helens PCT,2044.0,2011-04-17
Lancashire Care NHS Foundation Trust,0.0,2011-04-17
Lancashire Teaching Hospitals NHS Foundation Trust,2237.0,2011-04-17
Liverpool Community Health NHS Trust,3062.0,2011-04-17
Liverpool Heart And Chest NHS Foundation Trust,0.0,2011-04-17
Liverpool Women's NHS Foundation Trust,236.0,2011-04-17
Mid Cheshire Hospitals NHS Foundation Trust,1538.0,2011-04-17
North Cumbria University Hospitals NHS Trust,1391.0,2011-04-17
Oldham PCT,948.0,2011-04-17
Pennine Acute Hospitals NHS Trust,6463.0,2011-04-17
Pennine Care NHS Foundation Trust,1446.0,2011-04-17
Royal Liverpool And Broadgreen University Hospitals NHS Trust,2014.0,2011-04-17
Salford Royal NHS Foundation Trust,2363.0,2011-04-17
Southport And Ormskirk Hospital NHS Trust,1837.0,2011-04-17
St Helens And Knowsley Hospitals NHS Trust,2139.0,2011-04-17
Stockport NHS Foundation Trust,1670.0,2011-04-17
Tameside Hospital NHS Foundation Trust,1490.0,2011-04-17
The Christie NHS Foundation Trust,0.0,2011-04-17
The Walton Centre NHS Foundation Trust,0.0,2011-04-17
Trafford Healthcare NHS Trust,1101.0,2011-04-17
University Hospital Of South Manchester NHS Foundation Trust,2114.0,2011-04-17
University Hospitals Of Morecambe Bay NHS Foundation Trust,1616.0,2011-04-17
Warrington And Halton Hospitals NHS Foundation Trust,1911.0,2011-04-17
West Lancashire Healthcare Partnership Community Cic (Sdgh),301.0,2011-04-17
Western Cheshire PCT,246.0,2011-04-17
Wirral Community NHS Trust,1703.0,2011-04-17
Wirral University Teaching Hospital NHS Foundation Trust,1731.0,2011-04-17
"Wrightington, Wigan And Leigh NHS Foundation Trust",1713.0,2011-04-17
Airedale NHS Foundation Trust,1122.0,2011-04-17
Barnsley Hospital NHS Foundation Trust,1492.0,2011-04-17
Bradford Teaching Hospitals NHS Foundation Trust,2889.0,2011-04-17
Calderdale And Huddersfield NHS Foundation Trust,2845.0,2011-04-17
City Health Care Partnership Cic,351.0,2011-04-17
Doncaster And Bassetlaw Hospitals NHS Foundation Trust,3354.0,2011-04-17
Harrogate And District NHS Foundation Trust,1515.0,2011-04-17
Hull And East Yorkshire Hospitals NHS Trust,2464.0,2011-04-17
Humber NHS Foundation Trust,316.0,2011-04-17
Kirklees PCT,335.0,2011-04-17
Lcd-Leeds-Ooh,725.0,2011-04-17
Leeds Teaching Hospitals NHS Trust,4222.0,2011-04-17
Local Care Direct Ooh,840.0,2011-04-17
Mid Yorkshire Hospitals NHS Trust,4109.0,2011-04-17
North East Lincolnshire Care Trust Plus,126.0,2011-04-17
Northern Lincolnshire And Goole Hospitals NHS Foundation Trust,2563.0,2011-04-17
Rotherham Community Health Centre,874.0,2011-04-17
Scarborough And North East Yorkshire Health Care NHS Trust,1033.0,2011-04-17
Sheffield Children's NHS Foundation Trust,970.0,2011-04-17
Sheffield City GP Hc (Wic),1230.0,2011-04-17
Sheffield Teaching Hospitals NHS Foundation Trust,2765.0,2011-04-17
South West Yorkshire Partnership NHS Foundation Trust,0.0,2011-04-17
The Rotherham NHS Foundation Trust,1499.0,2011-04-17
York Teaching Hospital NHS Foundation Trust,1703.0,2011-04-17
Chesterfield Royal Hospital NHS Foundation Trust,1379.0,2011-04-17
Derby Hospitals NHS Foundation Trust,2272.0,2011-04-17
Derby Open Access Centre,1001.0,2011-04-17
Derbyshire Community Health Services NHS Trust,1026.0,2011-04-17
Derbyshire Health United Ltd,250.0,2011-04-17
Dr GP Hanlon's Practice,977.0,2011-04-17
Ilkeston Family Practice & Walk In Ctr,447.0,2011-04-17
Kettering General Hospital NHS Foundation Trust,1553.0,2011-04-17
Lakeside Plus Limited,707.0,2011-04-17
Latham House Medical Practice,158.0,2011-04-17
Lincolnshire Community Health Services NHS Trust,1775.0,2011-04-17
Market Harborough Med.Ctr,230.0,2011-04-17
NHS Nottingham 8-8 Health Centre,508.0,2011-04-17
Northampton General Hospital NHS Trust,1851.0,2011-04-17
Nottingham Citycare Partnership,1162.0,2011-04-17
Nottingham University Hospitals NHS Trust,3506.0,2011-04-17
Nottinghamshire Healthcare NHS Trust,357.0,2011-04-17
Oakham Medical Practice,53.0,2011-04-17
Sherwood Forest Hospitals NHS Foundation Trust,2173.0,2011-04-17
United Lincolnshire Hospitals NHS Trust,3296.0,2011-04-17
University Hospitals Of Leicester NHS Trust,3955.0,2011-04-17
Birmingham Children's Hospital NHS Foundation Trust,908.0,2011-04-17
Birmingham Coin,597.0,2011-04-17
Birmingham Community Healthcare NHS Trust,255.0,2011-04-17
Birmingham East And North PCT,1002.0,2011-04-17
Birmingham Women's NHS Foundation Trust,0.0,2011-04-17
Burton Hospitals NHS Foundation Trust,1198.0,2011-04-17
Coventry And Warwickshire Partnership NHS Trust,0.0,2011-04-17
Coventry NHS Healthcare Ctr,992.0,2011-04-17
Dudley Borough Walk In Centre,837.0,2011-04-17
George Eliot Hospital NHS Trust,1388.0,2011-04-17
Greet General Practice & Urgent Care Centre,719.0,2011-04-17
Heart Of England NHS Foundation Trust,4545.0,2011-04-17
Malling Health - Telford Wic,348.0,2011-04-17
Malling Health - Wrekin Wic,287.0,2011-04-17
Mid Staffordshire NHS Foundation Trust,1418.0,2011-04-17
North Staffordshire PCT,128.0,2011-04-17
Sandwell And West Birmingham Hospitals NHS Trust,4135.0,2011-04-17
Showell Park Health & Walk In Centre,427.0,2011-04-17
Shrewsbury And Telford Hospital NHS Trust,2076.0,2011-04-17
Shropshire County PCT,455.0,2011-04-17
Shropshire Walk In Health Centre,623.0,2011-04-17
Solihull Care Trust,920.0,2011-04-17
South Birmingham PCT,807.0,2011-04-17
South Staffordshire PCT,1144.0,2011-04-17
South Warwickshire NHS Foundation Trust,1231.0,2011-04-17
Stoke On Trent PCT,856.0,2011-04-17
Summerfield Urgent Care Centre,714.0,2011-04-17
Telford And Wrekin PCT,70.0,2011-04-17
The Dudley Group NHS Foundation Trust,1857.0,2011-04-17
The Robert Jones And Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,0.0,2011-04-17
The Royal Wolverhampton Hospitals NHS Trust,2491.0,2011-04-17
University Hospital Of North Staffordshire NHS Trust,2028.0,2011-04-17
University Hospitals Birmingham NHS Foundation Trust,1618.0,2011-04-17
University Hospitals Coventry And Warwickshire NHS Trust,3267.0,2011-04-17
Walsall Healthcare NHS Trust,1544.0,2011-04-17
Walsall Teaching PCT,1054.0,2011-04-17
Worcestershire Acute Hospitals NHS Trust,2732.0,2011-04-17
Worcestershire PCT,735.0,2011-04-17
Wye Valley NHS Trust,1095.0,2011-04-17
Anglian Community Enterprise Community Interest Company (Ace Cic),587.0,2011-04-17
Assura Chelmsford Llp,745.0,2011-04-17
Assura Lea Valley Llp,301.0,2011-04-17
Basildon And Thurrock University Hospitals NHS Foundation Trust,1909.0,2011-04-17
Bedford Hospital NHS Trust,1296.0,2011-04-17
Bedfordshire PCT,515.0,2011-04-17
Cambridge University Hospitals NHS Foundation Trust,1704.0,2011-04-17
Cambridgeshire Community Services NHS Trust,649.0,2011-04-17
Colchester Hospital University NHS Foundation Trust,1409.0,2011-04-17
Crown Health Centre,499.0,2011-04-17
East And North Hertfordshire NHS Trust,2814.0,2011-04-17
Great Yarmouth And Waveney PCT,98.0,2011-04-17
Greyfriars Health Centre,340.0,2011-04-17
Hertfordshire Community NHS Trust,143.0,2011-04-17
Hinchingbrooke Health Care NHS Trust,698.0,2011-04-17
Ipswich Hospital NHS Trust,1155.0,2011-04-17
James Paget University Hospitals NHS Foundation Trust,1309.0,2011-04-17
Luton And Dunstable Hospital NHS Foundation Trust,1263.0,2011-04-17
Luton Out Of Hours & Triage Centre,646.0,2011-04-17
Mid Essex Hospital Services NHS Trust,1308.0,2011-04-17
Norfolk And Norwich University Hospitals NHS Foundation Trust,1897.0,2011-04-17
North Colchester Healthcare Centre,1055.0,2011-04-17
Norwich Practices Ltd (Castle Mall),1379.0,2011-04-17
Peterborough And Stamford Hospitals NHS Foundation Trust,1578.0,2011-04-17
Peterborough PCT,1298.0,2011-04-17
South West Essex PCT,476.0,2011-04-17
Southend University Hospital NHS Foundation Trust,1725.0,2011-04-17
Suffolk PCT,134.0,2011-04-17
The Princess Alexandra Hospital NHS Trust,1625.0,2011-04-17
"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",1063.0,2011-04-17
The Riverside Clinic,496.0,2011-04-17
West Essex PCT,551.0,2011-04-17
West Hertfordshire Hospitals NHS Trust,2317.0,2011-04-17
West Suffolk NHS Foundation Trust,1016.0,2011-04-17
Barking And Dagenham PCT,598.0,2011-04-17
"Barking, Havering And Redbridge University Hospitals NHS Trust",3388.0,2011-04-17
Barnet And Chase Farm Hospitals NHS Trust,2985.0,2011-04-17
Barnet PCT,1920.0,2011-04-17
Barts And The London NHS Trust,2543.0,2011-04-17
Brent Urgent Care Centre - Central Middlesex Hospital,1107.0,2011-04-17
Broad Street Medical Practice & Walk In Centre,593.0,2011-04-17
Bromley PCT,1209.0,2011-04-17
Central London Community Healthcare NHS Trust,1769.0,2011-04-17
